operating_unit,operating_unit_long,local,international,goal
Angola,Angola,0.29,0.71,0
Asia Region,Asia Region,0.12,0.88,0
Botswana,Botswana,0.67,0.33,0
Burundi,Burundi,0.14,0.86,0
Cameroon,Cameroon,0.27,0.73,0
Cote d'Ivoire,Cote d'Ivoire,0.28,0.72,0
DRC,Democratic Republic of Congo,0.2,0.8,0
DR,Dominican Republic,0.55,0.45,0
Eswatini,Eswatini,0.47,0.53,0
Ethiopia,Ethiopia,0.81,0.19,1
Haiti,Haiti,0.38,0.62,0
Kenya,Kenya,0.4,0.6,0
Lesotho,Lesotho,0.38,0.62,0
Malawi,Malawi,0.4,0.6,0
Mozambique,Mozambique,0.33,0.67,0
Namibia,Namibia,0.69,0.31,0
Nigeria,Nigeria,0.66,0.34,0
Rwanda,Rwanda,0.85,0.15,1
South Africa,South Africa,0.83,0.17,1
South Sudan,South Sudan,0.01,0.99,0
Tanzania,Tanzania,0.45,0.55,0
Uganda,Uganda,0.66,0.34,0
Ukraine,Ukraine,0.74,0.26,1
Vietnam,Vietnam,0.45,0.55,0
WAR,West Africa Region,0.06,0.94,0
Wester Hemisphere,Western Hemisphere Region,0.63,0.37,0
Zambia,Zambia,0.49,0.51,0
Zimbabwe,Zimbabwe,0.34,0.66,0
Total,Total,0.54,0.46,0
